"행정구역","2022년07월_계_총인구수","2022년07월_계_연령구간인구수","2022년07월_계_0~9세","2022년07월_남_총인구수","2022년07월_남_연령구간인구수","2022년07월_남_0~9세","2022년07월_여_총인구수","2022년07월_여_연령구간인구수","2022년07월_여_0~9세","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0~9세","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0~9세","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0~9세","2022년09월_계_총인구수","2022년09월_계_연령구간인구수","2022년09월_계_0~9세","2022년09월_남_총인구수","2022년09월_남_연령구간인구수","2022년09월_남_0~9세","2022년09월_여_총인구수","2022년09월_여_연령구간인구수","2022년09월_여_0~9세","2022년10월_계_총인구수","2022년10월_계_연령구간인구수","2022년10월_계_0~9세","2022년10월_남_총인구수","2022년10월_남_연령구간인구수","2022년10월_남_0~9세","2022년10월_여_총인구수","2022년10월_여_연령구간인구수","2022년10월_여_0~9세","2022년11월_계_총인구수","2022년11월_계_연령구간인구수","2022년11월_계_0~9세","2022년11월_남_총인구수","2022년11월_남_연령구간인구수","2022년11월_남_0~9세","2022년11월_여_총인구수","2022년11월_여_연령구간인구수","2022년11월_여_0~9세","2022년12월_계_총인구수","2022년12월_계_연령구간인구수","2022년12월_계_0~9세","2022년12월_남_총인구수","2022년12월_남_연령구간인구수","2022년12월_남_0~9세","2022년12월_여_총인구수","2022년12월_여_연령구간인구수","2022년12월_여_0~9세"
"경기도 경기도 하남시 (4145000000)","323,674","32,323","32,323","161,761","16,534","16,534","161,913","15,789","15,789","323,472","32,153","32,153","161,608","16,446","16,446","161,864","15,707","15,707","323,853","32,252","32,252","161,778","16,481","16,481","162,075","15,771","15,771","324,674","32,273","32,273","162,159","16,497","16,497","162,515","15,776","15,776","325,310","32,224","32,224","162,437","16,462","16,462","162,873","15,762","15,762","326,059","32,150","32,150","162,773","16,417","16,417","163,286","15,733","15,733"
"경기도 경기도 용인시 (4146000000)","1,078,451","90,722","90,722","535,438","46,385","46,385","543,013","44,337","44,337","1,078,751","90,120","90,120","535,640","46,077","46,077","543,111","44,043","44,043","1,077,111","89,457","89,457","534,734","45,738","45,738","542,377","43,719","43,719","1,076,369","88,721","88,721","534,236","45,345","45,345","542,133","43,376","43,376","1,075,570","88,110","88,110","533,662","45,055","45,055","541,908","43,055","43,055","1,074,971","87,516","87,516","533,323","44,751","44,751","541,648","42,765","42,765"
"경기도 경기도 용인시 처인구 (4146100000)","262,344","19,202","19,202","134,916","9,880","9,880","127,428","9,322","9,322","262,597","19,066","19,066","135,093","9,802","9,802","127,504","9,264","9,264","261,742","18,884","18,884","134,650","9,714","9,714","127,092","9,170","9,170","260,930","18,706","18,706","134,140","9,605","9,605","126,790","9,101","9,101","259,872","18,586","18,586","133,444","9,572","9,572","126,428","9,014","9,014","259,288","18,399","18,399","133,113","9,495","9,495","126,175","8,904","8,904"
"경기도 경기도 용인시 기흥구 (4146300000)","439,674","37,489","37,489","216,957","19,199","19,199","222,717","18,290","18,290","439,459","37,190","37,190","216,824","19,046","19,046","222,635","18,144","18,144","438,728","36,870","36,870","216,426","18,879","18,879","222,302","17,991","17,991","438,547","36,521","36,521","216,337","18,719","18,719","222,210","17,802","17,802","438,500","36,198","36,198","216,331","18,537","18,537","222,169","17,661","17,661","438,235","35,905","35,905","216,180","18,383","18,383","222,055","17,522","17,522"
"경기도 경기도 용인시 수지구 (4146500000)","376,433","34,031","34,031","183,565","17,306","17,306","192,868","16,725","16,725","376,695","33,864","33,864","183,723","17,229","17,229","192,972","16,635","16,635","376,641","33,703","33,703","183,658","17,145","17,145","192,983","16,558","16,558","376,892","33,494","33,494","183,759","17,021","17,021","193,133","16,473","16,473","377,198","33,326","33,326","183,887","16,946","16,946","193,311","16,380","16,380","377,448","33,212","33,212","184,030","16,873","16,873","193,418","16,339","16,339"
"경기도 경기도 파주시 (4148000000)","488,608","42,287","42,287","248,071","21,592","21,592","240,537","20,695","20,695","490,143","42,359","42,359","248,876","21,663","21,663","241,267","20,696","20,696","492,267","42,690","42,690","249,924","21,839","21,839","242,343","20,851","20,851","493,938","42,695","42,695","250,677","21,826","21,826","243,261","20,869","20,869","494,970","42,587","42,587","251,183","21,783","21,783","243,787","20,804","20,804","495,315","42,403","42,403","251,334","21,705","21,705","243,981","20,698","20,698"
"경기도 경기도 이천시 (4150000000)","224,603","17,222","17,222","116,851","8,891","8,891","107,752","8,331","8,331","224,616","17,108","17,108","116,895","8,844","8,844","107,721","8,264","8,264","224,225","16,940","16,940","116,689","8,741","8,741","107,536","8,199","8,199","224,077","16,817","16,817","116,626","8,666","8,666","107,451","8,151","8,151","223,151","16,716","16,716","116,138","8,595","8,595","107,013","8,121","8,121","222,721","16,610","16,610","115,925","8,560","8,560","106,796","8,050","8,050"
"경기도 경기도 안성시 (4155000000)","190,160","12,615","12,615","98,165","6,545","6,545","91,995","6,070","6,070","190,126","12,550","12,550","98,161","6,507","6,507","91,965","6,043","6,043","189,648","12,424","12,424","97,942","6,455","6,455","91,706","5,969","5,969","189,475","12,330","12,330","97,870","6,415","6,415","91,605","5,915","5,915","189,146","12,269","12,269","97,702","6,389","6,389","91,444","5,880","5,880","188,842","12,196","12,196","97,581","6,355","6,355","91,261","5,841","5,841"
"경기도 경기도 김포시 (4157000000)","484,972","51,055","51,055","242,449","26,100","26,100","242,523","24,955","24,955","484,310","50,573","50,573","242,154","25,879","25,879","242,156","24,694","24,694","483,845","50,138","50,138","241,842","25,644","25,644","242,003","24,494","24,494","484,071","49,853","49,853","241,884","25,486","25,486","242,187","24,367","24,367","484,194","49,493","49,493","241,926","25,322","25,322","242,268","24,171","24,171","484,267","49,239","49,239","241,904","25,186","25,186","242,363","24,053","24,053"
"경기도 경기도 화성시 (4159000000)","897,883","97,996","97,996","466,793","50,079","50,079","431,090","47,917","47,917","899,334","97,556","97,556","467,557","49,842","49,842","431,777","47,714","47,714","900,294","97,142","97,142","468,038","49,641","49,641","432,256","47,501","47,501","904,267","97,006","97,006","470,143","49,571","49,571","434,124","47,435","47,435","907,958","96,911","96,911","471,943","49,552","49,552","436,015","47,359","47,359","910,814","96,724","96,724","473,507","49,458","49,458","437,307","47,266","47,266"
