기준연도,시군명,연령대,성별,결제건수,결제금액,결제취소건수,결제취소금액,1회평균결제금액,총인구,총인구_남,총인구_여,내국인_세대수,내국인_총인구,내국인_남,내국인_여,등록외국인_총인구,등록외국인_남,등록외국인_여
2023,과천시,50대,남,164113,356201.0888,984.0,3274.0411,2.1705,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,50대,여,216684,449080.0324,1555.0,5600.559,2.0725,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,60대,남,119960,212471.6713,697.0,2156.2273,1.7712,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,60대,여,147242,285791.5886,1265.0,3561.4908,1.941,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,70대,남,31354,58790.2551,248.0,722.8993,1.875,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,70대,여,33196,67944.2668,284.0,984.144,2.0468,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,80대 이상,남,8858,16582.1079,79.0,210.9107,1.872,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,80대 이상,여,11282,20888.1861,81.0,175.7101,1.8515,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2022,과천시,10대,남,29199,65710.6436,169.0,1083.6299,2.2504,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2022,과천시,10대,여,25645,65124.137,164.0,1019.5132,2.5394,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2022,과천시,20대,남,128685,198205.8219,724.0,2333.1541,1.5402,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2022,과천시,20대,여,128226,223018.1921,914.0,2830.1735,1.7393,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2022,과천시,30대,남,187286,365733.2673,1396.0,7874.7481,1.9528,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2022,과천시,30대,여,250512,532803.2396,1899.0,8261.9255,2.1269,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2022,과천시,40대,남,255397,666959.2685,1827.0,9466.2166,2.6115,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2022,과천시,40대,여,365158,896353.5496,2728.0,11735.244,2.4547,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2022,과천시,50대,남,193881,423641.9652,1319.0,6158.4807,2.1851,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2022,과천시,50대,여,261278,555972.2803,2139.0,7413.0178,2.1279,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2022,과천시,60대,남,117096,219132.4371,897.0,3220.3629,1.8714,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2022,과천시,60대,여,136291,281726.1322,1375.0,4506.1977,2.0671,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2022,과천시,70대,남,26563,53274.8032,226.0,813.9487,2.0056,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2022,과천시,70대,여,33980,73364.6427,320.0,1171.399,2.1591,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2022,과천시,80대 이상,남,8642,17254.7804,91.0,483.757,1.9966,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
